Series_reference,Period,Data_value,STATUS,Group,Subject,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5,UNITS,MAGNTUDE
SNEA.SG01NAC16P10A11,2007.03,526,FINAL,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",National Accounts - SNA 2008 - SNE,Output,Wool,,,,Dollar,6
SNEA.SG01NAC16P10A11,2008.03,482,FINAL,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",National Accounts - SNA 2008 - SNE,Output,Wool,,,,Dollar,6
SNEA.SG01NAC16P10A11,2009.03,404,FINAL,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",National Accounts - SNA 2008 - SNE,Output,Wool,,,,Dollar,6
SNEA.SG01NAC16P10A11,2010.03,450,FINAL,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",National Accounts - SNA 2008 - SNE,Output,Wool,,,,Dollar,6
SNEA.SG01NAC16P10A11,2011.03,563,FINAL,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",National Accounts - SNA 2008 - SNE,Output,Wool,,,,Dollar,6
SNEA.SG01NAC16P10A11,2012.03,675,FINAL,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",National Accounts - SNA 2008 - SNE,Output,Wool,,,,Dollar,6
SNEA.SG01NAC16P10A11,2013.03,587,FINAL,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",National Accounts - SNA 2008 - SNE,Output,Wool,,,,Dollar,6
SNEA.SG01NAC16P10A11,2014.03,573,FINAL,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",National Accounts - SNA 2008 - SNE,Output,Wool,,,,Dollar,6
SNEA.SG01NAC16P10A11,2015.03,644,FINAL,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",National Accounts - SNA 2008 - SNE,Output,Wool,,,,Dollar,6
SNEA.SG01NAC16P10A11,2016.03,641,FINAL,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",National Accounts - SNA 2008 - SNE,Output,Wool,,,,Dollar,6
SNEA.SG01NAC16P10A11,2017.03,470,FINAL,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",National Accounts - SNA 2008 - SNE,Output,Wool,,,,Dollar,6
SNEA.SG01NAC16P10A11,2018.03,548,FINAL,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",National Accounts - SNA 2008 - SNE,Output,Wool,,,,Dollar,6
SNEA.SG01NAC16P10A11,2019.03,600,FINAL,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",National Accounts - SNA 2008 - SNE,Output,Wool,,,,Dollar,6
SNEA.SG01NAC16P10A11,2020.03,518,FINAL,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",National Accounts - SNA 2008 - SNE,Output,Wool,,,,Dollar,6
