Series_reference,Period,Data_value,STATUS,Subject,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5,UNITS,MAGNTUDE
SNEA.SG02NAC14P30A01E,1988.03,5044,FINAL,National Accounts - SNA 2008 - SNE,Final Consumption Expenditure,Food and nonalcoholic beverages,Households,,,Dollars,6
SNEA.SG02NAC14P30A01E,1989.03,5371,FINAL,National Accounts - SNA 2008 - SNE,Final Consumption Expenditure,Food and nonalcoholic beverages,Households,,,Dollars,6
SNEA.SG02NAC14P30A01E,1990.03,5865,FINAL,National Accounts - SNA 2008 - SNE,Final Consumption Expenditure,Food and nonalcoholic beverages,Households,,,Dollars,6
SNEA.SG02NAC14P30A01E,1991.03,6341,FINAL,National Accounts - SNA 2008 - SNE,Final Consumption Expenditure,Food and nonalcoholic beverages,Households,,,Dollars,6
SNEA.SG02NAC14P30A01E,1992.03,6363,FINAL,National Accounts - SNA 2008 - SNE,Final Consumption Expenditure,Food and nonalcoholic beverages,Households,,,Dollars,6
SNEA.SG02NAC14P30A01E,1993.03,6591,FINAL,National Accounts - SNA 2008 - SNE,Final Consumption Expenditure,Food and nonalcoholic beverages,Households,,,Dollars,6
SNEA.SG02NAC14P30A01E,1994.03,6742,FINAL,National Accounts - SNA 2008 - SNE,Final Consumption Expenditure,Food and nonalcoholic beverages,Households,,,Dollars,6
SNEA.SG02NAC14P30A01E,1995.03,7223,FINAL,National Accounts - SNA 2008 - SNE,Final Consumption Expenditure,Food and nonalcoholic beverages,Households,,,Dollars,6
SNEA.SG02NAC14P30A01E,1996.03,7571,FINAL,National Accounts - SNA 2008 - SNE,Final Consumption Expenditure,Food and nonalcoholic beverages,Households,,,Dollars,6
SNEA.SG02NAC14P30A01E,1997.03,8002,FINAL,National Accounts - SNA 2008 - SNE,Final Consumption Expenditure,Food and nonalcoholic beverages,Households,,,Dollars,6
SNEA.SG02NAC14P30A01E,1998.03,8298,FINAL,National Accounts - SNA 2008 - SNE,Final Consumption Expenditure,Food and nonalcoholic beverages,Households,,,Dollars,6
SNEA.SG02NAC14P30A01E,1999.03,8653,FINAL,National Accounts - SNA 2008 - SNE,Final Consumption Expenditure,Food and nonalcoholic beverages,Households,,,Dollars,6
SNEA.SG02NAC14P30A01E,2000.03,9018,FINAL,National Accounts - SNA 2008 - SNE,Final Consumption Expenditure,Food and nonalcoholic beverages,Households,,,Dollars,6
