Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
SNEA.S1NB0200MS100C0,1999.03,37385,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control
SNEA.S1NB0200MS100C0,2000.03,41523,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control
SNEA.S1NB0200MS100C0,2001.03,44617,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control
SNEA.S1NB0200MS100C0,2002.03,48454,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control
SNEA.S1NB0200MS100C0,2003.03,49358,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control
SNEA.S1NB0200MS100C0,2004.03,52208,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control
SNEA.S1NB0200MS100C0,2005.03,54955,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control
SNEA.S1NB0200MS100C0,2006.03,56384,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control
SNEA.S1NB0200MS100C0,2007.03,59095,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control
SNEA.S1NB0200MS100C0,2008.03,65579,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control
SNEA.S1NB0200MS100C0,2009.03,63263,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control
SNEA.S1NB0200MS100C0,2010.03,65382,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control
