Series_reference,Period,Data_value,STATUS,Group,Subject,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5,UNITS,MAGNTUDE
SNEA.SG09NAC00B01NZ,1992.03,21670,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,1993.03,22115,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,1994.03,23590,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,1995.03,24928,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,1996.03,26076,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,1997.03,26980,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,1998.03,27640,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,1999.03,27952,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,2000.03,29465,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,2001.03,31003,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,2002.03,33007,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,2003.03,34051,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,2004.03,35724,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,2005.03,37685,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,2006.03,39281,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,2007.03,40986,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
