Series_reference,Period,Data_value,STATUS,Group,Subject,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5,UNITS,MAGNTUDE
SNEA.SG03NAC12D21Z,1987.03,1501,FINAL,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,GST,Total,,,,Dollars,6
SNEA.SG03NAC12D21Z,1988.03,3381,FINAL,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,GST,Total,,,,Dollars,6
SNEA.SG03NAC12D21Z,1989.03,3522,FINAL,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,GST,Total,,,,Dollars,6
SNEA.SG03NAC12D21Z,1990.03,4459,FINAL,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,GST,Total,,,,Dollars,6
SNEA.SG03NAC12D21Z,1991.03,4812,FINAL,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,GST,Total,,,,Dollars,6
SNEA.SG03NAC12D21Z,1992.03,4775,FINAL,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,GST,Total,,,,Dollars,6
SNEA.SG03NAC12D21Z,1993.03,4899,FINAL,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,GST,Total,,,,Dollars,6
SNEA.SG03NAC12D21Z,1994.03,5257,FINAL,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,GST,Total,,,,Dollars,6
SNEA.SG03NAC12D21Z,1995.03,5797,FINAL,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,GST,Total,,,,Dollars,6
SNEA.SG03NAC12D21Z,1996.03,6203,FINAL,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,GST,Total,,,,Dollars,6
SNEA.SG03NAC12D21Z,1997.03,6480,FINAL,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,GST,Total,,,,Dollars,6
SNEA.SG03NAC12D21Z,1998.03,6705,FINAL,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,GST,Total,,,,Dollars,6
SNEA.SG03NAC12D21Z,1999.03,6840,FINAL,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,GST,Total,,,,Dollars,6
SNEA.SG03NAC12D21Z,2000.03,7312,FINAL,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,GST,Total,,,,Dollars,6
SNEA.SG03NAC12D21Z,2001.03,7571,FINAL,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,GST,Total,,,,Dollars,6
SNEA.SG03NAC12D21Z,2002.03,8097,FINAL,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,GST,Total,,,,Dollars,6
SNEA.SG03NAC12D21Z,2003.03,8832,FINAL,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,GST,Total,,,,Dollars,6
SNEA.SG03NAC12D21Z,2004.03,9551,FINAL,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,GST,Total,,,,Dollars,6
SNEA.SG03NAC12D21Z,2005.03,10245,FINAL,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,GST,Total,,,,Dollars,6
SNEA.SG03NAC12D21Z,2006.03,10788,FINAL,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,GST,Total,,,,Dollars,6
SNEA.SG03NAC12D21Z,2007.03,11557,FINAL,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,GST,Total,,,,Dollars,6
SNEA.SG03NAC12D21Z,2008.03,12207,FINAL,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,GST,Total,,,,Dollars,6
SNEA.SG03NAC12D21Z,2009.03,12193,FINAL,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,GST,Total,,,,Dollars,6
SNEA.SG03NAC12D21Z,2010.03,12328,FINAL,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,GST,Total,,,,Dollars,6
SNEA.SG03NAC12D21Z,2011.03,13929,FINAL,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,GST,Total,,,,Dollars,6
SNEA.SG03NAC12D21Z,2012.03,15840,REVISED,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,GST,Total,,,,Dollars,6
SNEA.SG03NAC12D21Z,2013.03,16254,REVISED,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,GST,Total,,,,Dollars,6
SNEA.SG03NAC12D21Z,2014.03,16925,REVISED,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,GST,Total,,,,Dollars,6
SNEA.SG03NAC12D21Z,2015.03,17782,REVISED,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,GST,Total,,,,Dollars,6
SNEA.SG03NAC12D21Z,2016.03,18987,REVISED,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,GST,Total,,,,Dollars,6
SNEA.SG03NAC12D21Z,2017.03,20768,REVISED,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,GST,Total,,,,Dollars,6
SNEA.SG03NAC12D21Z,2018.03,21953,REVISED,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,GST,Total,,,,Dollars,6
SNEA.SG03NAC12D21Z,2019.03,23103,REVISED,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,GST,Total,,,,Dollars,6
SNEA.SG03NAC12D21Z,2020.03,24576,REVISED,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,GST,Total,,,,Dollars,6
SNEA.SG03NAC12D21Z,2021.03,24061,REVISED,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,GST,Total,,,,Dollars,6
SNEA.SG03NAC12D21Z,2022.03,26910,REVISED,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,GST,Total,,,,Dollars,6
SNEA.SG03NAC12D21Z,2023.03,29240,REVISED,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,GST,Total,,,,Dollars,6
SNEA.SG03NAC12D21Z,2024.03,30913,FINAL,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,GST,Total,,,,Dollars,6
SNEA.SG03NAC12D22Z,1987.03,570,FINAL,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,Import duties,Total,,,,Dollars,6
SNEA.SG03NAC12D22Z,1988.03,847,FINAL,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,Import duties,Total,,,,Dollars,6
SNEA.SG03NAC12D22Z,1989.03,507,FINAL,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,Import duties,Total,,,,Dollars,6
SNEA.SG03NAC12D22Z,1990.03,604,FINAL,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,Import duties,Total,,,,Dollars,6
SNEA.SG03NAC12D22Z,1991.03,556,FINAL,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,Import duties,Total,,,,Dollars,6
SNEA.SG03NAC12D22Z,1992.03,514,FINAL,"Series, GDP(I), Nominal, Actual, Tax type",National Accounts - SNA 2008 - SNE,Import duties,Total,,,,Dollars,6
